nr,certificate_number,registration_date,name,administrator,location,county
461,524,2010-07-12,Margineni - Vacarea Mica - Vacarea Mare - Varful Comisei,Consiliul Judetean Brasov,Muntii Fagaras,Brasov
462,525,2010-07-12,Lisa - Seaca - Saua Trosnita - Muchia Sambetei - Cheile Bandei,Consiliul Judetean Brasov,Muntii Fagaras,Brasov
463,526,2010-08-12,Cristior - Varful Curcubata Mare,Consiliul Judetean Bihor,Muntii Bihor,Bihor
464,527,2010-08-12,Poiana - Cascada Sfanta Treime - Baita,Consiliul Judetean Bihor,Muntii Bihor,Bihor
465,528,2010-08-12,Poiana - La Rascruce,Consiliul Judetean Bihor,Muntii Bihor,Bihor
466,529,2010-08-12,Carpinet - Izbucul Calugari,Consiliul Judetean Bihor,Muntii Bihor,Bihor
467,530,2010-09-09,Lacul Rosu - Platoul Suhardul Mic,Consiliul Judetean Harghita,Muntii Giurgeului,Harghita
468,531,2010-09-09,Lacul Rosu - Balconul de Piatra - Crescatoria de Pastravi,Consiliul Judetean Harghita,Muntii Giurgeului,Harghita
469,532,2010-09-09,Lacul Rosu - Pestera Licos,Consiliul Judetean Harghita,Muntii Giurgeului,Harghita
470,533,2010-09-09,Lacul Rosu - Piatra Cherecului - Poiana Alba,Consiliul Judetean Harghita,Muntii Giurgeului,Harghita
471,534,2010-09-09,Lacul Rosu - Piatra Ghilocos,Consiliul Judetean Harghita,Muntii Giurgeului,Harghita
472,535,2010-09-09,Poiana Ghilcos - Piatra Ghilcos,Consiliul Judetean Harghita,Muntii Giurgeului,Harghita
473,536,2010-09-09,Poiana Puturosu - Varful Retitis,Consiliul Judetean Harghita,Muntii Calimani,Harghita
474,537,2010-09-09,Gura Voivodesei - Lacul Iezer,Consiliul Judetean Harghita,Muntii Calimani,Harghita
475,538,2010-09-09,Monument Secu - Saua Retitis,Consiliul Judetean Harghita,Muntii Calimani,Harghita
476,539,2010-09-09,Baile Tusnad - Lacul Ciucas - Stanca Soimilor,Consiliul Judetean Harghita,Muntii Ciomatul Mare,Harghita
477,540,2010-09-09,Baile Tusnad - Cabana Lacul Sfanta Ana,Consiliul Judetean Harghita,Muntii Ciomatul Mare,Harghita
478,541,2010-09-09,Baile Tusnad - Cabana Lacul Sfanta Ana - Muchia Lacului Sfanta Ana - Bixad,Consiliul Judetean Harghita,Muntii Ciomatul Mare,Harghita
479,542,2010-09-09,Pensiunea Hatar - Cabana Lacul Sfanta Ana,Consiliul Judetean Harghita,Muntii Ciomatul Mare,Harghita
480,543,2010-12-02,Varful Tatar - Pasul Pangarat - Poiana Calului - Poiana Alba - Saua Denties,Consiliul Judetean Harghita,Muntii Giurgeului,Harghita
481,544,2010-12-02,Gatul Nyerges - Drumul Lapos - Gatul Licos,Consiliul Judetean Harghita,Muntii Giurgeului,Harghita
482,545,2010-12-02,Lacul Rosu - Saua Piatra Rosie - Drumul Vararilor - Cheile Bicazului,Consiliul Judetean Harghita,Muntii Giurgeului,Harghita
483,546,2010-12-02,Poiana Ghilcos - Piatra Ghilcos,Consiliul Judetean Harghita,Muntii Giurgeului,Harghita
484,547,2010-12-02,Lacul Sfanta Ana - Tetelea,Consiliul Judetean Harghita,Muntii Bodoc,Harghita
485,548,2010-12-02,Baile Tusnad - Turnul Apor - Baile Tusnad,Consiliul Judetean Harghita,Muntii Harghitei,Harghita
486,549,2010-12-02,Baile Tusnad - Varful Cetatii,Consiliul Judetean Harghita,Muntii Harghitei,Harghita
487,550,2010-12-02,Baile Tusnad - Varful Ciomatul Mare,Consiliul Judetean Harghita,Muntii Harghitei,Harghita
488,551,2010-12-02,Harghita Bai - Subpadure,Consiliul Judetean Harghita,Muntii Harghitei,Harghita
489,552,2010-12-02,Harghita Bai - Pasul Liban,Consiliul Judetean Harghita,Muntii Harghitei,Harghita
490,553,2010-12-02,Capalnita - Piatra Altarului - Cabana Harghita - Madaras,Consiliul Judetean Harghita,Muntii Harghitei,Harghita
491,554,2010-12-02,Zetea - Dealul Fedeliu - Poiana Muntele Mare - Cabana Harghita - Madaras,Consiliul Judetean Harghita,Muntii Harghitei,Harghita
492,555,2010-12-02,Cabana Harghita Bai - Coltul Tesit - Poiana Racu - Poiana Mare - Cabana Harghita - Madaras,Consiliul Judetean Harghita,Muntii Harghitei,Harghita
493,556,2011-02-15,Baile Herculane - Platoul si Izvorul Coronini - Cracu lui Arendasu - Poiana cu Peri,Consiliul Judetean Caras-Severin,Muntii Cernei,Caras-Severin
494,557,2011-02-15,Baile Herculane - Platoul Coronini - Foisorul Verde - Izvorul Diana,Consiliul Judetean Caras-Severin,Muntii Cernei,Caras-Severin
495,558,2011-02-15,Baile Herculane - Izvorul Munk - Izvorul Diana III,Consiliul Judetean Caras-Severin,Muntii Cernei,Caras-Severin
496,559,2011-02-15,Baile Herculane - Izvorul Munk - Piscul Jubiliar - Varful Ciorici - Varful Dada,Consiliul Judetean Caras-Severin,Muntii Cernei,Caras-Severin
497,560,2011-02-15,Baile Herculane - Varful Ciorici - Pestera cu Aburi - Pestera lui Adam - Pestera Despicatura,Consiliul Judetean Caras-Severin,Muntii Cernei,Caras-Severin
498,561,2011-02-15,Baile Herculane - Sapte Izvoare Calde - Piatra Banitei Poiana Culmea Mare,Consiliul Judetean Caras-Severin,Muntii Cernei,Caras-Severin
499,562,2011-02-15,Baile Herculane - Cascada Vanturatoarea - Poiana Cicilovete,Consiliul Judetean Caras-Severin,Muntii Cernei,Caras-Severin
500,563,2011-02-15,Baile Herculane - Cheile Peciniscai - Creasta Cocosului,Consiliul Judetean Caras-Severin,Muntii Mehedinti,Caras-Severin
501,564,2011-02-15,Baile Herculane - Cheile Peciniscai - Poiana Pades,Consiliul Judetean Caras-Severin,Muntii Mehedinti,Caras-Severin
502,565,2011-02-15,Baile Herculane - Cheile Ferigari - Varful Soimului - Pestera Mare de la Soroniste,Consiliul Judetean Caras-Severin,Muntii Mehedinti,Caras-Severin
503,566,2011-02-15,Baile Herculane - Cheile Ferigari - Obarsia Vaii Ferigari - Creasta Podeni,Consiliul Judetean Caras-Severin,Muntii Mehedinti,Caras-Severin
504,567,2011-02-15,Baile Herculane - Crucea Alba - Izvorul Jelarau - Culmea muntilor Mehedinti,Consiliul Judetean Caras-Severin,Muntii Mehedinti,Caras-Severin
505,568,2011-02-15,Baile Herculane - Crucea Alba - Varful Domogledu Mic - Cheile Ferigari - Fosta Fabrica de Var,Consiliul Judetean Caras-Severin,Muntii Mehedinti,Caras-Severin
506,569,2011-02-15,Baile Herculane - Crucea Alba - Varful Izvorul Jelarau - Varful Susaie,Consiliul Judetean Caras-Severin,Muntii Mehedinti,Caras-Severin
507,570,2011-02-15,Cararea Pisicii - Varful Domogledu Mic - Varful Domogledu Mare,Consiliul Judetean Caras-Severin,Muntii Mehedinti,Caras-Severin
508,571,2011-02-15,Baile Herculane - Crucea Alba - Izvorul Jelarau - La Susoare - La Marginea,Consiliul Judetean Caras-Severin,Muntii Mehedinti,Caras-Severin
509,572,2011-02-15,Baile Herculane - Cheile Saua Padina - La Marginea,Consiliul Judetean Caras-Severin,Muntii Mehedinti,Caras-Severin
510,573,2011-02-15,Baile Herculane - Cascada Cociului,Consiliul Judetean Caras-Severin,Muntii Mehedinti,Caras-Severin
511,574,2011-02-15,Baile Herculane - Poiana Fantana Mosului - Creasta Gorneti,Consiliul Judetean Caras-Severin,Muntii Mehedinti,Caras-Severin
512,575,2011-02-15,Baile Herculane - Poiana Fantana Mosului - Poiana Balta Cerbului - Poiana Tasuc,Consiliul Judetean Caras-Severin,Muntii Mehedinti,Caras-Severin
513,576,2011-02-15,Baile Herculane - Izvorul Conteselor - Biserica Ortodoxa,Consiliul Judetean Caras-Severin,Muntii Domogled,Caras-Severin
514,577,2011-03-21,Varful Rebra - Tarnita La Cruce - Saua Galatului - Varful Gargalau,Consiliul Local al Orasului Borsa,Muntii Rodnei,Maramures
