nr,certificate_number,registration_date,name,administrator,location,county
474,537,2010-09-09,Gura Voivodesei - Lacul Iezer,Consiliul Județean Harghita,Munții Călimani,Harghita
475,538,2010-09-09,Monument Secu - Șaua Retițiș,Consiliul Județean Harghita,Munții Călimani,Harghita
476,539,2010-09-09,Băile Tușnad - Lacul Ciucaș - Stânca Șoimilor,Consiliul Județean Harghita,Munții Ciomatul Mare,Harghita
477,540,2010-09-09,Băile Tușnad - Cabana Lacul Sfânta Ana,Consiliul Județean Harghita,Munții Ciomatul Mare,Harghita
483,546,2010-12-02,Poiana Ghilcoș - Piatra Ghilcoș,Consiliul Județean Harghita,Munții Giurgeului,Harghita
484,547,2010-12-02,Lacul Sfânta Ana - Țețelea,Consiliul Județean Harghita,Munții Bodoc,Harghita
485,548,2010-12-02,Băile Tușnad - Turnul Apor - Băile Tușnad,Consiliul Județean Harghita,Munții Harghitei,Harghita
486,549,2010-12-02,Băile Tușnad - Vârful Cetății,Consiliul Județean Harghita,Munții Harghitei,Harghita
487,550,2010-12-02,Băile Tușnad - Vârful Ciomatul Mare,Consiliul Județean Harghita,Munții Harghitei,Harghita
488,551,2010-12-02,Harghita Băi - Subpădure,Consiliul Județean Harghita,Munții Harghitei,Harghita
489,552,2010-12-02,Harghita Băi - Pasul Liban,Consiliul Județean Harghita,Munții Harghitei,Harghita
490,553,2010-12-02,Căpâlnița - Piatra Altarului - Cabana Harghita - Mădăraș,Consiliul Județean Harghita,Munții Harghitei,Harghita
491,554,2010-12-02,Zetea - Dealul Fedeliu - Poiana Muntele Mare - Cabana Harghita - Mădăraș,Consiliul Județean Harghita,Munții Harghitei,Harghita
492,555,2010-12-02,Cabana Harghita Băi - Colțul Teșit - Poiana Racu - Poiana Mare - Cabana Harghita - Mădăraș,Consiliul Județean Harghita,Munții Harghitei,Harghita
493,556,2011-02-15,Băile Herculane - Platoul și Izvorul Coronini - Cracu lui Arendașu - Poiana cu Peri,Consiliul Județean Caraș-Severin,Munții Cernei,Caraș-Severin
494,557,2011-02-15,Băile Herculane - Platoul Coronini - Foișorul Verde - Izvorul Diana,Consiliul Județean Caraș-Severin,Munții Cernei,Caraș-Severin
495,558,2011-02-15,Băile Herculane - Izvorul Munk - Izvorul Diana III,Consiliul Județean Caraș-Severin,Munții Cernei,Caraș-Severin
496,559,2011-02-15,Băile Herculane - Izvorul Munk - Piscul Jubiliar - Vârful Ciorici - Vârful Dada,Consiliul Județean Caraș-Severin,Munții Cernei,Caraș-Severin
497,560,2011-02-15,Băile Herculane - Vârful Ciorici - Peștera cu Aburi - Peștera lui Adam - Peștera Despicătura,Consiliul Județean Caraș-Severin,Munții Cernei,Caraș-Severin
498,561,2011-02-15,Băile Herculane - Șapte Izvoare Calde - Piatra Băniței Poiana Culmea Mare,Consiliul Județean Caraș-Severin,Munții Cernei,Caraș-Severin
499,562,2011-02-15,Băile Herculane - Cascada Vânturătoarea - Poiana Cicilovete,Consiliul Județean Caraș-Severin,Munții Cernei,Caraș-Severin
500,563,2011-02-15,Băile Herculane - Cheile Pecinișcăi - Creasta Cocoșului,Consiliul Județean Caraș-Severin,Munții Mehedinți,Caraș-Severin
