Nr. crt.,Nr. Certificat,Data emiterii,Denumire traseu,Administrator,Amplasare,Judeţ
223,223,2006-12-11,Staţia CFR Turnu Roşi – Şipotu Frasinului – Culmea Petriceaua – Dealul Pleşii – Chica Pietrilor,Consiliul Judeţean Sibiu,Masivul Făgăraş,Sibiu
224,224,2006-12-11,Sebeşu de Sus (Podul Moaşei) – Valea Moaşei Sebeşului – Cascadele Sebeşului – fosta Cabană Suru,Consiliul Judeţean Sibiu,Masivul Făgăraş,Sibiu
225,225,2006-12-11,Staţia CFR Sebeşu Olt – Sat Sebeşu de Sus – Culmea Moaşei – refugiul Suru – Fruntea Moaşei – Căldarea Surului – Şaua Suru,Consiliul Judeţean Sibiu,Masivul Făgăraş,Sibiu
226,226,2006-12-11,Bifurcaţia de la Podul Jibrii – Valea Moaşa Avrigului – Izvorul Florii – Culmea Moaşei – refugiul Suru – Fruntea Moaşei - Şaua Apa Cumpănită,Consiliul Judeţean Sibiu,Masivul Făgăraş,Sibiu
227,227,2006-12-11,Staţia CFR Avrig – Valea Mare a Avrigului – Cabana Poiana Neamţului – cabana Bărcaciu – sub vf. Scara,Consiliul Judeţean Sibiu,Masivul Făgăraş,Sibiu
228,228,2006-12-11,Cabana Bărcaciu – Căldarea Văii Mari a Avrigului – Lacul Avrig,Consiliul Judeţean Sibiu,Masivul Făgăraş,Sibiu
229,229,2006-12-11,Cabana Negoiu – Valea Şerbota – Valea Porumbăcelului – Cabana Bărcaciu,Consiliul Judeţean Sibiu,Masivul Făgăraş,Sibiu
230,230,2006-12-11,Staţia CFR Porumbacu de Jos – Porumbacu de Sus – Valea Mare a Porumbacului – Cabana Negoiu – Căldarea Sărăţii – Şaua Cleopatrei,Consiliul Judeţean Sibiu,Masivul Făgăraş,Sibiu
231,231,2006-12-11,Cabana Negoiu –Valea Şerbota – Căldarea Puha – Şaua Puha – Şaua Scara ,Consiliul Judeţean Sibiu,Masivul Făgăraş,Sibiu
232,232,2006-12-11,Cabana Negoiu – Muchia Şerbota – Vf. Şerbota,Consiliul Judeţean Sibiu,Masivul Făgăraş,Sibiu
233,233,2006-12-11,Piatra Prânzului - Strunga Ciobanului – bifurcaţia de sub strungi din Căldarea Laita,Consiliul Judeţean Sibiu,Masivul Făgăraş,Sibiu
234,234,2006-12-11,Bâlea Cascadă – Muchia Bâlii – Valea Doamnei – Şaua Bâlii – Bălea Lac ,Consiliul Judeţean Sibiu,Masivul Făgăraş,Sibiu
235,235,2006-12-11,Cârţişoara – Bâlea Cascada – Valea Bâlii - Lacul Bâlea – Şaua Caprei – Vf. Vânătoarea lui Buteanu,Consiliul Judeţean Sibiu,Masivul Făgăraş,Sibiu
236,236,2006-12-11,Bâlea Cascadă – Izvorul Dracului – Muchia Buteanu – vf. Netedu – Căldarea Văiuga – Lacul Bâlea – Şaua Paltinu ,Consiliul Judeţean Sibiu,Masivul Făgăraş,Sibiu
237,237,2006-12-11,Bifurcaţia din Şaua Văiuga – Bifurcaţia din Căldarea Văiuga,Consiliul Judeţean Sibiu,Masivul Făgăraş,Sibiu
238,238,2006-12-11,Portiţa Arpaşului – Căldarea Arpaşului – Muchia Podrăgel – Lacul Podrăgel – Cabana Podragu,Consiliul Judeţean Sibiu,Masivul Făgăraş,Sibiu
239,239,2006-12-11,Bifurcaţia Valea Arpaşului – Valea Podrăgel – Lacul Podrăgel,Consiliul Judeţean Sibiu,Masivul Făgăraş,Sibiu
240,240,2006-12-11,Staţia CFR Ucea – Oraşul Victoria – Valea Arpaşului – Valea Podragului – Cabana Turnuri – Cabana Podragu – Fereastra Podragului,Consiliul Judeţean Sibiu,Masivul Făgăraş,Sibiu
241,241,2006-12-11,Oraşul Victoria – Poiana Boldanu – Muchia Tărâţa – Lacul Podragu – Cabana Podragu,Consiliul Judeţean Sibiu,Masivul Făgăraş,Sibiu
242,242,2006-12-11,Cisnădie – vf. Măgura – vf. Ghiham – Poiana Tomnatec – Grădina Onceşti – Cantonul silvic Muncel – Şaua Bătrâna – vf. Rozdeşti - Şaua Şerbănei – vf. Niculeşti – Şaua Cânaia – vf. Cindrel – vf. Frumoasa – vf. Şerbota Mare – vf. Oaşa Mare – Cabana Oaşa ,Consiliul Judeţean Sibiu,Masivul Cindrel,Sibiu
243,243,2006-12-11,Răşinari – Şaua Apa Cumpănită,Consiliul Judeţean Sibiu,Masivul Cindrel,Sibiu
244,244,2006-12-11,Jina (sat) - dealul Captanul Mic - Dealul Guga Mică - La Pripoane - Cantonul silvic Duşi - Poiana Rudarilor – vf. Foltea – vf. Frumoasa – vf. Cindrel,Consiliul Judeţean Sibiu,Masivul Cindrel,Sibiu
245,245,2006-12-11,“Halta CFR Sibiel - sat Fântânele - fosta cabană Fântânele - La Pripoane” ,Consiliul Judeţean Sibiu,Masivul Cindrel,Sibiu
246,246,2006-12-11,Sat Sibiel – Valea Cetăţii – vf. Cetatea (La zid) – fosta cabană Fântânele,Consiliul Judeţean Sibiu,Masivul Cindrel,Sibiu
247,247,2006-12-11,Sat Sibiel – Valea Cetăţii – dealul Cetăţii – fosta cabană Fântânele,Consiliul Judeţean Sibiu,Masivul Cindrel,Sibiu
248,248,2006-12-11,Sat Sibiel – Valea Sibiel – la Mânăstire – Valea Sibielaş – fosta cabană Fântânele,Consiliul Judeţean Sibiu,Masivul Cindrel,Sibiu
249,249,2006-12-11,Fosta cabană Fântânele – Dealul Runcuri – La Pisc – Cheile Cibinului – Calea studenţilor – staţiunea Păltiniş,Consiliul Judeţean Sibiu,Masivul Cindrel,Sibiu
250,250,2006-12-11,Fosta cabană Fântânele – Piscul Vulturului – Râul Mic (Cantonul silvic Strâmba) – Măgura – Râul Mare (Cantonul silvic Niculeşti) – Valea Niculeşti – Şaua Şerbănei,Consiliul Judeţean Sibiu,Masivul Cindrel,Sibiu
251,251,2006-12-11,Staţiunea Păltiniş – Poiana Găujoara – Cantonul silvic Muncel – Grădina Onceşti – Staţia Telescaun – Staţiunea Păltiniş,Consiliul Judeţean Sibiu,Masivul Cindrel,Sibiu
252,252,2006-12-11,Staţiunea Păltiniş – Poiana Găujoara – Şaua Bătrâna,Consiliul Judeţean Sibiu,Masivul Cindrel,Sibiu
253,253,2006-12-11,Staţiunea Păltiniş – Cantonul silvic Muncel – Poiana Bătrână – La pahar – baraj Gâtu Berbecului,Consiliul Judeţean Sibiu,Masivul Cindrel,Sibiu
254,254,2006-12-11,Şanta – Poiana Lupilor – vf. Onceşti – staţie telescaun Păltiniş,Consiliul Judeţean Sibiu,Masivul Cindrel,Sibiu
255,255,2006-12-11,"Şaua Serbănei – Refugiul Cânaia – sub vf. Cindrel, amonte de şaua Ştefleşti",Consiliul Judeţean Sibiu,Masivul Cindrel,Sibiu
256,256,2006-12-11,Cantonul silvic Niculeşti – Cabana Z – Râul Mare – Şaua Cânaia – Valea Sadului (Cantonul silvic Şerbănei),Consiliul Judeţean Sibiu,Masivul Cindrel,Sibiu
257,257,2006-12-11,Vf. Cindrel – bifurcaţie spre Refugiul Cânaia – Şaua Ştefleşti,Consiliul Judeţean Sibiu,Masivul Cindrel,Sibiu
258,258,2006-12-11,Cisnădie – vf. Măgura – Poiana Cărbunări – Valea Sadului,Consiliul Judeţean Sibiu,Masivul Cindrel,Sibiu
259,259,2006-12-11,Cisnădioara – vf. Măgura – Poiana Trandafirilor (Rosengarden) – cătun Prislop - Răşinari,Consiliul Judeţean Sibiu,Masivul Cindrel,Sibiu
260,260,2006-12-11,Cisnădioara – Valea Argintului – Poiana Trandafirilor (Rosengarden),Consiliul Judeţean Sibiu,Masivul Cindrel,Sibiu
261,261,2006-12-11,Ciupari (Râu Sadului) – Şaua Târnova – Poiana Trandafirilor (Rosengarden) – coada Lscului Sadului II,Consiliul Judeţean Sibiu,Masivul Cindrel,Sibiu
262,262,2006-12-11,Valea Tocile – Poiana Mărului – Vf. Măgura,Consiliul Judeţean Sibiu,Masivul Cindrel,Sibiu
263,263,2006-12-11,Vf. Mare – vf. Sterpu – Vf. Voineagul – Cătăneşti – Şaua Buceciu – Vf. Negovanu Mare – sub Vf. Balindru – Vf. Ştefleşti – Piatra Albă – Şaua Tărtărău,Consiliul Judeţean Sibiu,Masivul Lotru,Sibiu
264,264,2006-12-11,Tălmăcel – Muchia Ştefăniţa – Sub vf. Pleşiţa – sub Vf. Muma – La Cruce – Cabana Prejba – Vf. Bran – Izvorul Cerbului – Şaua Buceciu,Consiliul Judeţean Sibiu,Masivul Lotru,Sibiu
265,265,2006-12-11,Valea Sadului (Masa Verde) – Valea Juvărţel – Poiana Muma – La Cruce – Cabana Prejba,Consiliul Judeţean Sibiu,Masivul Lotru,Sibiu
266,266,2006-12-11,Cabana Valea Sadului – Muchia Văreţelor – Vf. Prejba – Cabana Prejba,Consiliul Judeţean Sibiu,Masivul Lotru,Sibiu
267,267,2006-12-11,Valea Sadului (Cantonul silvic Rozdeşti) – Casele Negovanu – Vf. Negovanu Mare,Consiliul Judeţean Sibiu,Masivul Lotru,Sibiu
268,268,2006-12-11,Şaua Ştefleşti – Şaua dintre Vf. Cristeşti şi Vf. Piatra Albă,Consiliul Judeţean Sibiu,Masivul Lotru,Sibiu
269,269,2006-12-11,Lazaret – Valea Lotrioara – Pârâul Cailor – Poiana Iaru – Cabana Prejba,Consiliul Judeţean Sibiu,Masivul Lotru,Sibiu
270,270,2006-12-11,Lazaret – Lotrioara – Cantonul silvic Gârcu – Valea Sterpului – Vf. Sterpului,Consiliul Judeţean Sibiu,Masivul Lotru,Sibiu
271,271,2006-12-11,Municipiul Câmpulung Moldovenesc – Cabana Rarău,Consiliul Judeţean Suceava,Masivul Rarău,Suceava
272,272,2006-12-11,Municipiul Câmpulung Moldovenesc – stânga de Vf. Bodea – poiana Sihăstriei,Consiliul Judeţean Suceava,Masivul Rarău,Suceava
273,273,2006-12-11,Municipiul Câmpulung Moldovenesc – pârâul Mesteacăn – Munceii Rarăului – Cabana Rarău,Consiliul Judeţean Suceava,Masivul Rarău,Suceava
274,274,2006-12-11,Municipiul Câmpulung Moldovenesc – Izvorul Alb – Valea Limpedea – Şaua Ciobanilor,Consiliul Judeţean Suceava,Masivul Rarău,Suceava
275,275,2006-12-11,Municipiul Câmpulung Moldovenesc – pârâul Valea Caselor – pârâul Moara Dracului – Şaua Ciobanilor,Consiliul Judeţean Suceava,Masivul Rarău,Suceava
276,276,2006-12-11,Satul Slătioara – Codrul secular Slătioara – Vf. Todirescu,Consiliul Judeţean Suceava,Masivul Rarău,Suceava
277,278,2006-12-11,Comuna Pojorîta – Valea Izvorul Giumalău – şaua Colbului,Consiliul Judeţean Suceava,Masivul Rarău,Suceava
278,279,2006-12-11,Sat Valea Putnei – Poiana Sapele – Vf. Alunu – Vf. Giumalau – Cabana Zugreni,Consiliul Judeţean Suceava,Masivul Giumalău,Suceava
279,280,2006-12-11,Curmătura Prislop – Poiana Todirescu – Popii Rarăului – Cabana Rarău – Vf. Giumalău – Poiana Ticseni – Cabana Mestecăniş,Consiliul Judeţean Suceava,Masivul Giumalău,Suceava
280,281,2006-12-11,Cabana Giumalău – Poliţa Caprelor,Consiliul Judeţean Suceava,Masivul Giumalău,Suceava
281,282,2006-12-11,Sat Chiril – Cabana Rarău,Consiliul Judeţean Suceava,Masivul Rarău,Suceava
282,283,2006-12-11,Vatra Dornei – Obcina Mare – Obcina Mică – Poiana Ticseni,Consiliul Judeţean Suceava,Masivul Giumalău,Suceava
283,284,2006-12-11,Traseul Circuit Rezervaţia “Pietrele Doamnei” – Masivul Rarău,Consiliul Judeţean Suceava,Masivul Rarău,Suceava
284,285,2007-03-13, Vatra Dornei – Dealul Drăncani – Obcina Mică – Poiana Ciungi – Cabana Giumalău cu ramnificaţie spre Vf Giumalău,Consiliul Local Vatra Dornei,Masivul Giumalău,Suceava
285,286,2007-03-13,Vatra Dornei – Vf Bârnăbel – Obcina Mică – Poiana Fierului – Pasul Mestecăniş,Consiliul Local Vatra Dornei,Masivul Giumalău,Suceava
286,289,2007-03-13,Zugreni – Pârâul Colbu – Piciorul Ţepuşelor – Cabana Giumalău – Vf. Giumalău,Consiliul Local Vatra Dornei,Masivul Giumalău,Suceava
287,294,2007-03-13,Com. Dorna Candreni – Şesu Muntelui – Pârâul Haju,Consiliul Local Vatra Dornei,Munţii Suhard,Suceava
288,296,2007-03-13,Vatra Dornei – Poiana Spânzului – Poiana Snopului – Apa Rece – Com. Şarul Dornei,Consiliul Local Vatra Dornei,Munţii Căliman,Suceava
289,352,2008-04-15,Stâna de Vale – Vf. Cucurbăta Mare (Bihorul),Consiliul Judeţean Bihor,M-ţii Bihor-Vlădeasa ,Bihor
290,353,2008-04-15,Sat Pietroasa – Şaua Bohodei – Vl. Aleului,Consiliul Judeţean Bihor,M-ţii Bihor-Vlădeasa ,Bihor
291,354,2008-04-15,Satul de vacanţă Boga– Şaua Bohodei,Consiliul Judeţean Bihor,M-ţii Bihor-Vlădeasa ,Bihor
292,355,2008-04-15,Camping “La grajduri” – Casa de Piatră,Consiliul Judeţean Bihor,M-ţii Bihor-Vlădeasa ,Bihor
293,356,2008-04-15,Sat Pietroasa – Comuna Arieşeni,Consiliul Judeţean Bihor,M-ţii Bihor-Vlădeasa ,Bihor
294,357,2008-04-15,Şaua Vârtop - Ştei,Consiliul Judeţean Bihor,M-ţii Bihor-Vlădeasa ,Bihor
295,358,2008-04-15,Sat Câmpani – DN 75 km 25 +100,Consiliul Judeţean Bihor,M-ţii Bihor-Vlădeasa ,Bihor
296,359,2008-04-15,Circuitul Peşterii Urşilor,Consiliul Judeţean Bihor,M-ţii Bihor-Vlădeasa ,Bihor
297,360,2008-04-15,Cabana Vlădeasa – Gârda de Sus,Consiliul Judeţean Bihor,M-ţii Bihor-Vlădeasa ,Bihor
298,361,2008-04-15,Piatra Grăitoare - Camping Runcu Ars (Ponor),Consiliul Judeţean Bihor,M-ţii Bihor-Vlădeasa ,Bihor
299,362,2008-04-15,Circuitul  Izvoarelor Someşului Cald,Consiliul Judeţean Bihor,M-ţii Bihor-Vlădeasa ,Bihor
300,363,2008-04-15,Cantonul forestier Padiş – Cabana Vărăşoaia,Consiliul Judeţean Bihor,M-ţii Bihor-Vlădeasa ,Bihor
301,364,2008-04-15,Circuit Măgura Vânătă,Consiliul Judeţean Bihor,M-ţii Bihor-Vlădeasa ,Bihor
302,365,2008-04-15,Sat Pietroasa – Cabana Padiş,Consiliul Judeţean Bihor,M-ţii Bihor-Vlădeasa ,Bihor
303,366,2008-04-15,Circuitul Gropii de la Barsa,Consiliul Judeţean Bihor,M-ţii Bihor-Vlădeasa ,Bihor
304,367,2008-04-15,Circuitul Cetăţilor Ponorului   ,Consiliul Judeţean Bihor,M-ţii Bihor-Vlădeasa ,Bihor
305,368,2008-04-15,Circuitul Galbenei,Consiliul Judeţean Bihor,M-ţii Bihor-Vlădeasa ,Bihor
306,369,2008-04-15,Cabana Padiş – P-na Căput ,Consiliul Judeţean Bihor,M-ţii Bihor-Vlădeasa ,Bihor
307,370,2008-04-15,Cabana Padiş – Avenul Negru – Avenul Acoperit – avenul Pionierilor  ,Consiliul Judeţean Bihor,M-ţii Bihor-Vlădeasa ,Bihor
308,371,2008-04-15,Cabana Padiş –  Gheţarul Scărişoara,Consiliul Judeţean Bihor,M-ţii Bihor-Vlădeasa ,Bihor
309,372,2008-06-30,Mate Pal - Vf. Lăcăuţi,Consiliul Judeţean Covasna,M-ţii Breţcului ,Covasna
310,373,2008-06-30,Olyves -   Vf. Lăcăuţi,Consiliul Judeţean Covasna,M-ţii Breţcului ,Covasna
311,374,2008-06-30,Comandău- Creasta Mţii Breţcului,Consiliul Judeţean Covasna,M-ţii Breţcului ,Covasna
312,375,2008-06-30,Creasta Mţii Breţcului,Consiliul Judeţean Covasna,M-ţii Breţcului ,Covasna
313,376,2008-06-30,Comuna Zăbala - Vf. Lăcăuţi,Consiliul Judeţean Covasna,M-ţii Breţcului ,Covasna
314,377,2008-06-30,Comuna Ghelinţa - Vf. Corobert,Consiliul Judeţean Covasna,M-ţii Breţcului ,Covasna
315,378,2008-06-30,Creasta Munţii Baraolt (Piatra Vecel - Hatod) ,Consiliul Judeţean Covasna,M-ţii Baraolt,Covasna
316,379,2009-05-18,Dâmbul Pietros- Watzmann - Dealul Maiod vf. Terebici ,Consiliul Judeţean Mureş,M-ţii Gurghiu,Mureş
317,380,2009-05-18,Platoul Corneşti - Dr. Sasului- dealul Nou - Sângeorgiu de Mureş ,Consiliul Judeţean Mureş,M-ţii Gurghiu,Mureş
318,381,2009-05-18,Cartier Tudor - Platoul Corneşti  ,Consiliul Judeţean Mureş,M-ţii Gurghiu,Mureş
319,382,2009-05-18,Fabrica Masini Calcul -Grădina Zoo - Universitatea de Medicină   ,Consiliul Judeţean Mureş,M-ţii Gurghiu,Mureş
320,383,2009-05-18,Drumul Sasului - Poligon Vânătoresc - Sub Ciere- pepiniera Livezenie ,Consiliul Judeţean Mureş,M-ţii Gurghiu,Mureş
321,384,2009-05-18,Dealul Nou - vf. Terebici - Drumul spre Poenită ,Consiliul Judeţean Mureş,M-ţii Gurghiu,Mureş
322,385,2009-05-18,Glăjărie -Valea Casna  - Poiana Iad  ,Consiliul Judeţean Mureş,M-ţii Gurghiu,Mureş
323,386,2009-05-18,Stânceni - valea Gudea Mică - Vf. Fâncel,Consiliul Judeţean Mureş,M-ţii Gurghiu,Mureş
324,387,2009-05-18,Poiana Schwartz- vf. Lespez- Poiana Zespel    ,Consiliul Judeţean Mureş,M-ţii Gurghiu,Mureş
325,388,2009-05-18,Neagra- Pârâul Schwartz- Poiana Cădăreni- Neagra ,Consiliul Judeţean Mureş,M-ţii Gurghiu,Mureş
326,389,2009-05-18,Neagra- Creasta Suhacani- Poiana Cădăreni-  7 Poieni- Neagra,Consiliul Judeţean Mureş,M-ţii Gurghiu,Mureş
327,390,2009-05-18,Sălard - Valea Sălard - Valea Salea- Culmea Fâncel,Consiliul Judeţean Mureş,M-ţii Gurghiu,Mureş
328,391,2009-05-18,Sălard - Creasta Hedan - Poiana Belciu - Poiana Ion,Consiliul Judeţean Mureş,M-ţii Gurghiu,Mureş
329,392,2009-05-18,Gura Văii Sestina - Valea Sestina-Poiana Moita,Consiliul Judeţean Mureş,M-ţii Gurghiu,Mureş
330,393,2009-05-18,Gura Văii Tiba Mare - Valea Tiba Mare -Vf. Sălăşel,Consiliul Judeţean Mureş,M-ţii Gurghiu,Mureş
331,394,2009-05-18,Androneasa -Valea Tomoroaga - Poiana  Barta -Vf. Sălăşel,Consiliul Judeţean Mureş,M-ţii Gurghiu,Mureş
332,395,2009-05-18,Răstolita- Vf. Sistes -Valea Iod -Valea Rusu - Poiana Rusu,Consiliul Judeţean Mureş,M-ţii Gurghiu,Mureş
333,396,2009-05-18,"""Câmpu Cetăţii - Dealul Vardomb - Câmpu Cetăţii“   ",Consiliul Judeţean Mureş,M-ţii Gurghiu,Mureş
334,397,2009-05-18,Răstoliţa - Valea Iod - Poiana Iod,Consiliul Judeţean Mureş,M-ţii Gurghiu,Mureş
335,398,2009-05-18,Câmpu Cetăţii -  Culmea Ciorolab  - Cresova,Consiliul Judeţean Mureş,M-ţii Gurghiu,Mureş
336,399,2009-05-18,Câmpu Cetăţii -  Culmea Tâmpa  - Eremitu,Consiliul Judeţean Mureş,M-ţii Gurghiu,Mureş
337,400,2009-05-18,Câmpu Cetăţii -  Valea Nirajul Mic- Stanca Mesei - Vf. Saca Mare,Consiliul Judeţean Mureş,M-ţii Gurghiu,Mureş
338,401,2009-05-18,Săcădat- Valea Isnica-  Vf. Becheci,Consiliul Judeţean Mureş,M-ţii Gurghiu,Mureş
339,402,2009-05-18,Şasveres -Pădurea Mare- Piatra Siclodului,Consiliul Judeţean Mureş,M-ţii Gurghiu,Mureş
340,403,2009-05-18,Sovata- Valea Sebes- Vf. Saca Mare,Consiliul Judeţean Mureş,M-ţii Gurghiu,Mureş
341,404,2009-05-18,Sovata - Creasta Cireşu - Vf. Saca Mare- Valea Isopului,Consiliul Judeţean Mureş,M-ţii Gurghiu,Mureş
342,405,2009-05-18,Eremitu  -Vf. Becheci-  Culmea Restod- Sovata,Consiliul Judeţean Mureş,M-ţii Gurghiu,Mureş
343,406,2009-05-18,Tihu Răstoliţei -Şaua Tihului,Consiliul Judeţean Mureş,M-ţii Călimani,Mureş
344,407,2009-05-18,Valea Secu- Poiana Lungă- Tăul Zânelor,Consiliul Judeţean Mureş,M-ţii Călimani,Mureş
345,408,2009-05-18,Răstoliţa - Valea Vişa -Poiana Stângii,Consiliul Judeţean Mureş,M-ţii Călimani,Mureş
346,409,2009-05-18,Gălăoaia - Poiana Stângii- Zăpodea cu Podul - Valea Bistra,Consiliul Judeţean Mureş,M-ţii Călimani,Mureş
347,410,2009-05-18,Bistra Mureşului - Vf. Scaunul Domnului,Consiliul Judeţean Mureş,M-ţii Călimani,Mureş
348,411,2009-05-18,Stânceni -Valea Zebrac -  Poiana Zebrac,Consiliul Judeţean Mureş,M-ţii Călimani,Mureş
349,412,2009-05-18,Valea Ilişoara Mare -Valea Cucumbertul- Şaua Nicovala  ,Consiliul Judeţean Mureş,M-ţii Călimani,Mureş
350,413,2009-05-18,Tihul Ilvei -Vârful Tihu,Consiliul Judeţean Mureş,M-ţii Călimani,Mureş
351,414,2009-05-18,Lunca Bradului - Valea Ilva Mare-Şaua Negoiu,Consiliul Judeţean Mureş,M-ţii Călimani,Mureş
352,415,2009-05-18,Sălard - Poiana Obcinelor- Valea Fântânel - Lunca Bradului,Consiliul Judeţean Mureş,M-ţii Călimani,Mureş
353,416,2009-05-18,Sălard - La Sărăcin,Consiliul Judeţean Mureş,M-ţii Călimani,Mureş
354,417,2009-05-18,Valea Bistra  - Zăpodea cu Cale- Zăpodea Ursului,Consiliul Judeţean Mureş,M-ţii Călimani,Mureş
355,418,2009-05-18,Gura Cofului -Valea Cofului  - Poiana Cofului,Consiliul Judeţean Mureş,M-ţii Călimani,Mureş
356,419,2009-05-18,Bistra Mureşului -Valea Bistra  - Poiana Cofu,Consiliul Judeţean Mureş,M-ţii Călimani,Mureş
357,420,2009-05-18,Valea Rusca   - Vf. Tihu,Consiliul Judeţean Mureş,M-ţii Călimani,Mureş
358,421,2009-05-26, Furnalul Bodvaj-creasta Munţii Harghitei,Consiliul Judeţean Covasna,M-ţii Harghitei,Covasna
359,422,2009-06-01,Măn. Bistrița-Ch. Bistriței-curm. Rodeanu,Consiliul Judeţean Vâlcea,M-ții Căpățânii,Vâlcea
360,423,2009-06-01,Sat Pietreni- Ch. Costești-Șaua Zmeuret,Consiliul Judeţean Vâlcea,M-ții Căpățânii,Vâlcea
361,424,2009-06-01,V. Bistrița - V. Târnicirului- V.  Prislop,Consiliul Judeţean Vâlcea,M-ții Căpățânii,Vâlcea
362,425,2009-06-01,Sat Pietreni - M. Cacova- cab. Cheia,Consiliul Judeţean Vâlcea,M-ții Căpățânii,Vâlcea
363,426,2009-06-01,Com. Bărbătești -Dl. Siliștea- V. Costești,Consiliul Judeţean Vâlcea,M-ții Căpățânii,Vâlcea
364,427,2009-06-01,Com. Bărbătești -V. Otăsăului- Curm. Buila,Consiliul Judeţean Vâlcea,M-ții Căpățânii,Vâlcea
365,428,2009-06-01,Com. Bărbătești -Schit Iezer- Cab. Cheia,Consiliul Judeţean Vâlcea,M-ții Căpățânii,Vâlcea
366,429,2009-06-01,Schitul Pahonie -Muchia Frumoasa-Șaua Ștevioara,Consiliul Judeţean Vâlcea,M-ții Căpățânii,Vâlcea
367,430,2009-06-01,Schitul Pahonie - Stâna Oale - Curm. Comarnic,Consiliul Judeţean Vâlcea,M-ţii Căpățânii,Vâlcea
368,431,2009-06-01,V. Prislop - M. Cacova - Vf. Vânturița -Curmătura Oale,Consiliul Judeţean Vâlcea,M-ţii Căpățânii,Vâlcea
369,432,2009-06-01,Sat V. Cheii- V. Cheia-Canton Silvic Comarnice -Cab. Cheia,Consiliul Judeţean Vâlcea,M-ţii Căpățânii,Vâlcea
370,433,2009-06-01,Canton Silvic Codric - Șaua La Lac- Șaua Ștogșoara -Cab. Cheia,Consiliul Judeţean Vâlcea,M-ţii Căpățânii,Vâlcea
371,434,2009-06-01,Băile Olănești - Șaua Prislopel- Curm. Ștogșoara -Cab. Cheia,Consiliul Judeţean Vâlcea,M-ţii Căpățânii,Vâlcea
372,435,2009-06-01,Băile Olănești - plaiul Piatra Tăiată- Șaua La Lac- Cab. Cheia,Consiliul Judeţean Vâlcea,M-ţii Căpățânii,Vâlcea
373,436,2009-06-01,"""Băile Olănești - Cheile Olănești- vf. Folea""",Consiliul Judeţean Vâlcea,M-ţii Căpățânii,Vâlcea
374,437,2009-06-01,Cab. Cheia-  Vf. Netedu -Vf. Govora-Șaua Zmeuret,Consiliul Judeţean Vâlcea,M-ţii Căpățânii,Vâlcea
375,438,2009-06-01,Cab. Cheia-  Vf. Căprăreasa -Vf. Gera,Consiliul Judeţean Vâlcea,M-ţii Căpățânii,Vâlcea
376,439,2009-06-01,Măn. Bistrița -Măn. Arnota -vf. Netedu-Vf. Govora - Șaua Zmeuret,Consiliul Judeţean Vâlcea,M-ţii Căpățânii,Vâlcea
377,440,2009-06-01,Stâna Roșiile -Lacul Verde- Muntele Slivei -Stâna Roșiile,Consiliul Judeţean Hunedoara,M-ţii Parâng,Hunedoara
378,441,2009-06-01,Lacul Câlcescu-Piatra Tăiată- Vf. Mohorul -Cab. Rânca,Consiliul Judeţean Hunedoara,M-ţii Parâng,Hunedoara
379,442,2009-06-01,Petroșani -V. Maleia -Dl. Mosic -Dl. Slătinioara -Cab. Rusu,Consiliul Judeţean Hunedoara,M-ţii Parâng,Hunedoara
380,443,2009-06-01,Cab. Obârșia Lotrului- Lac Câlcescu-Vf. Parângul Mare-Cab. Rusu,Consiliul Judeţean Hunedoara,M-ţii Parâng,Hunedoara
381,444,2009-06-01,Cab. Obârșia Lotrului- muntele Cărbunele -Vf. Mohorul-Lacul Câlcescu,Consiliul Judeţean Hunedoara,M-ţii Parâng,Hunedoara
382,445,2009-06-01,Cab. Rânca- muntele Urdele -Valea Iezerul- Cab. Obârșia Lotrului,Consiliul Judeţean Hunedoara,M-ţii Parâng,Hunedoara
383,446,2009-07-16,P. Rotunda-Șa cu Lac-Vf. Galațului- Tarnița la Cruce- Vf. Muncelul Râios - P. Șetref,Consiliul Judeţean Bistrița-Năsăud ,M-ţii Rodnei,Bistrița - Năsăud
384,447,2009-07-16,Șaua Găgii -Lacul Lala ,Consiliul Judeţean Bistrița-Năsăud ,M-ţii Rodnei,Bistrița - Năsăud
385,448,2009-07-16,Comuna Șanț-Tabăra Valea Blaznei-Vf. Ineuț ,Consiliul Judeţean Bistrița-Năsăud ,M-ţii Rodnei,Bistrița - Năsăud
386,449,2009-07-16,Com. Rodna -Vf. Beneș- Șaua Curățel- Șaua cu Lac- Tăul Lala Mare ,Consiliul Judeţean Bistrița-Năsăud ,M-ţii Rodnei,Bistrița - Năsăud
387,450,2009-07-16,Sat Valea Vinului- izvorul Roșu-Tarnița Putredu  ,Consiliul Judeţean Bistrița-Năsăud ,M-ţii Rodnei,Bistrița - Năsăud
388,451,2009-07-16,Sat Valea Vinului- Șaua Curățel  ,Consiliul Judeţean Bistrița-Năsăud ,M-ţii Rodnei,Bistrița - Năsăud
389,452,2009-07-16,Sat Anieș-Valea Anieșului- Șaua Gărgălăului  ,Consiliul Judeţean Bistrița-Năsăud ,M-ţii Rodnei,Bistrița - Năsăud
390,453,2009-07-16,Între Anieșe- Izvorul Mare- Tarnița Bârsanului  ,Consiliul Judeţean Bistrița-Năsăud ,M-ţii Rodnei,Bistrița - Năsăud
