certificate_number,column,correction
23,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
23,name,CLEANING_RULE.EXPAND_ABBREVIATIONS
23,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
23,administrator,CLEANING_RULE.CONVERT_CHARS
23,location,CLEANING_RULE.CONVERT_CHARS
23,county,CLEANING_RULE.CONVERT_CHARS
24,name,CLEANING_RULE.CONVERT_CHARS
24,name,CLEANING_RULE.CORRECT_STICKY_DASHES
24,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
24,administrator,CLEANING_RULE.CONVERT_CHARS
24,location,CLEANING_RULE.CONVERT_CHARS
24,county,CLEANING_RULE.CONVERT_CHARS
25,name,CLEANING_RULE.CONVERT_CHARS
25,name,CLEANING_RULE.REMOVE_SPACES_AFTER_QUOTES
25,name,CLEANING_RULE.CORRECT_STICKY_DASHES
25,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
25,name,CLEANING_RULE.EXPAND_ABBREVIATIONS
25,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
25,administrator,CLEANING_RULE.CONVERT_CHARS
25,location,CLEANING_RULE.CONVERT_CHARS
25,county,CLEANING_RULE.CONVERT_CHARS
26,name,CLEANING_RULE.CONVERT_CHARS
26,name,CLEANING_RULE.CORRECT_STICKY_DASHES
26,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
26,administrator,CLEANING_RULE.CONVERT_CHARS
26,location,CLEANING_RULE.CONVERT_CHARS
26,county,CLEANING_RULE.CONVERT_CHARS
27,name,CLEANING_RULE.CONVERT_CHARS
27,name,CLEANING_RULE.CORRECT_STICKY_DASHES
27,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
27,administrator,CLEANING_RULE.CONVERT_CHARS
27,location,CLEANING_RULE.CONVERT_CHARS
27,county,CLEANING_RULE.CONVERT_CHARS
28,name,CLEANING_RULE.CONVERT_CHARS
28,name,CLEANING_RULE.CORRECT_STICKY_DASHES
28,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
28,administrator,CLEANING_RULE.CONVERT_CHARS
28,location,CLEANING_RULE.CONVERT_CHARS
28,county,CLEANING_RULE.CONVERT_CHARS
29,name,CLEANING_RULE.CONVERT_CHARS
29,name,CLEANING_RULE.CORRECT_STICKY_DASHES
29,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
29,name,CLEANING_RULE.EXPAND_ABBREVIATIONS
29,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
29,administrator,CLEANING_RULE.CONVERT_CHARS
29,location,CLEANING_RULE.CONVERT_CHARS
29,county,CLEANING_RULE.CONVERT_CHARS
30,name,CLEANING_RULE.CONVERT_CHARS
30,name,CLEANING_RULE.CORRECT_STICKY_DASHES
30,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
30,administrator,CLEANING_RULE.CONVERT_CHARS
30,location,CLEANING_RULE.CONVERT_CHARS
30,county,CLEANING_RULE.CONVERT_CHARS
31,name,CLEANING_RULE.CONVERT_CHARS
31,name,CLEANING_RULE.CORRECT_STICKY_DASHES
31,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
31,name,CLEANING_RULE.EXPAND_ABBREVIATIONS
31,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
31,administrator,CLEANING_RULE.CONVERT_CHARS
31,location,CLEANING_RULE.CONVERT_CHARS
31,county,CLEANING_RULE.CONVERT_CHARS
32,name,CLEANING_RULE.CONVERT_CHARS
32,name,CLEANING_RULE.FORMAT_PARENTHESIS
32,name,CLEANING_RULE.CORRECT_STICKY_DASHES
32,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
32,name,CLEANING_RULE.EXPAND_ABBREVIATIONS
32,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
32,administrator,CLEANING_RULE.CONVERT_CHARS
32,location,CLEANING_RULE.CONVERT_CHARS
32,county,CLEANING_RULE.CONVERT_CHARS
33,name,CLEANING_RULE.CONVERT_CHARS
33,name,CLEANING_RULE.CORRECT_STICKY_DASHES
33,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
33,administrator,CLEANING_RULE.CONVERT_CHARS
33,location,CLEANING_RULE.CONVERT_CHARS
33,county,CLEANING_RULE.CONVERT_CHARS
34,name,CLEANING_RULE.CONVERT_CHARS
34,name,CLEANING_RULE.CORRECT_STICKY_DASHES
34,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
34,administrator,CLEANING_RULE.CONVERT_CHARS
34,location,CLEANING_RULE.CONVERT_CHARS
34,county,CLEANING_RULE.CONVERT_CHARS
35,name,CLEANING_RULE.CONVERT_CHARS
35,name,CLEANING_RULE.CORRECT_STICKY_DASHES
35,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
35,name,CLEANING_RULE.EXPAND_ABBREVIATIONS
35,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
35,administrator,CLEANING_RULE.CONVERT_CHARS
