nr,certificate_number,registration_date,name,administrator,location,county
243,243,2006-12-11,Rășinari - Șaua Apa Cumpănită,Consiliul Județean Sibiu,Masivul Cindrel,Sibiu
244,244,2006-12-11,Jina (sat) - Dealul Captanul Mic - Dealul Guga Mică - La Pripoane - Cantonul Silvic Duși - Poiana Rudarilor - Vârful Foltea - Vârful Frumoasa - Vârful Cindrel,Consiliul Județean Sibiu,Masivul Cindrel,Sibiu
245,245,2006-12-11,Halta CFR Sibiel - sat Fântânele - fosta cabană Fântânele - La Pripoane,Consiliul Județean Sibiu,Masivul Cindrel,Sibiu
246,246,2006-12-11,Sat Sibiel - Valea Cetății - Vârful Cetatea (La zid) - fosta cabană Fântânele,Consiliul Județean Sibiu,Masivul Cindrel,Sibiu
247,247,2006-12-11,Sat Sibiel - Valea Cetății - Dealul Cetății - fosta cabană Fântânele,Consiliul Județean Sibiu,Masivul Cindrel,Sibiu
248,248,2006-12-11,Sat Sibiel - Valea Sibiel - la Mânăstire - Valea Sibielaș - fosta cabană Fântânele,Consiliul Județean Sibiu,Masivul Cindrel,Sibiu
249,249,2006-12-11,Fosta cabană Fântânele - Dealul Runcuri - La Pisc - Cheile Cibinului - Calea studenților - stațiunea Păltiniș,Consiliul Județean Sibiu,Masivul Cindrel,Sibiu
250,250,2006-12-11,Fosta cabană Fântânele - Piscul Vulturului - Râul Mic (Cantonul Silvic Strâmba) - Măgura - Râul Mare (Cantonul Silvic Niculești) - Valea Niculești - Șaua Șerbănei,Consiliul Județean Sibiu,Masivul Cindrel,Sibiu
251,251,2006-12-11,Stațiunea Păltiniș - Poiana Găujoara - Cantonul Silvic Muncel - Grădina Oncești - Stația Telescaun - Stațiunea Păltiniș,Consiliul Județean Sibiu,Masivul Cindrel,Sibiu
252,252,2006-12-11,Stațiunea Păltiniș - Poiana Găujoara - Șaua Bătrâna,Consiliul Județean Sibiu,Masivul Cindrel,Sibiu
253,253,2006-12-11,Stațiunea Păltiniș - Cantonul Silvic Muncel - Poiana Bătrână - La pahar - baraj Gâtu Berbecului,Consiliul Județean Sibiu,Masivul Cindrel,Sibiu
254,254,2006-12-11,Șanta - Poiana Lupilor - Vârful Oncești - stație telescaun Păltiniș,Consiliul Județean Sibiu,Masivul Cindrel,Sibiu
255,255,2006-12-11,"Șaua Serbănei - Refugiul Cânaia - sub Vârful Cindrel, amonte de Șaua Șteflești",Consiliul Județean Sibiu,Masivul Cindrel,Sibiu
256,256,2006-12-11,Cantonul Silvic Niculești - Cabana Z - Râul Mare - Șaua Cânaia - Valea Sadului (Cantonul Silvic Șerbănei),Consiliul Județean Sibiu,Masivul Cindrel,Sibiu
257,257,2006-12-11,Vârful Cindrel - bifurcație spre Refugiul Cânaia - Șaua Șteflești,Consiliul Județean Sibiu,Masivul Cindrel,Sibiu
258,258,2006-12-11,Cisnădie - Vârful Măgura - Poiana Cărbunări - Valea Sadului,Consiliul Județean Sibiu,Masivul Cindrel,Sibiu
259,259,2006-12-11,Cisnădioara - Vârful Măgura - Poiana Trandafirilor (Rosengarden) - cătun Prislop - Rășinari,Consiliul Județean Sibiu,Masivul Cindrel,Sibiu
260,260,2006-12-11,Cisnădioara - Valea Argintului - Poiana Trandafirilor (Rosengarden),Consiliul Județean Sibiu,Masivul Cindrel,Sibiu
261,261,2006-12-11,Ciupari (Râu Sadului) - Șaua Târnova - Poiana Trandafirilor (Rosengarden) - coada Lscului Sadului II,Consiliul Județean Sibiu,Masivul Cindrel,Sibiu
262,262,2006-12-11,Valea Tocile - Poiana Mărului - Vârful Măgura,Consiliul Județean Sibiu,Masivul Cindrel,Sibiu
263,263,2006-12-11,Vârful Mare - Vârful Sterpu - Vârful Voineagul - Cătănești - Șaua Buceciu - Vârful Negovanu Mare - sub Vârful Balindru - Vârful Șteflești - Piatra Albă - Șaua Tărtărău,Consiliul Județean Sibiu,Masivul Lotru,Sibiu
264,264,2006-12-11,Tălmăcel - Muchia Ștefănița - Sub Vârful Pleșița - sub Vârful Muma - La Cruce - Cabana Prejba - Vârful Bran - Izvorul Cerbului - Șaua Buceciu,Consiliul Județean Sibiu,Masivul Lotru,Sibiu
265,265,2006-12-11,Valea Sadului (Masa Verde) - Valea Juvărțel - Poiana Muma - La Cruce - Cabana Prejba,Consiliul Județean Sibiu,Masivul Lotru,Sibiu
266,266,2006-12-11,Cabana Valea Sadului - Muchia Vărețelor - Vârful Prejba - Cabana Prejba,Consiliul Județean Sibiu,Masivul Lotru,Sibiu
267,267,2006-12-11,Valea Sadului (Cantonul Silvic Rozdești) - Casele Negovanu - Vârful Negovanu Mare,Consiliul Județean Sibiu,Masivul Lotru,Sibiu
268,268,2006-12-11,Șaua Șteflești - Șaua dintre Vârful Cristești și Vârful Piatra Albă,Consiliul Județean Sibiu,Masivul Lotru,Sibiu
269,269,2006-12-11,Lazaret - Valea Lotrioara - Pârâul Cailor - Poiana Iaru - Cabana Prejba,Consiliul Județean Sibiu,Masivul Lotru,Sibiu
270,270,2006-12-11,Lazaret - Lotrioara - Cantonul Silvic Gârcu - Valea Sterpului - Vârful Sterpului,Consiliul Județean Sibiu,Masivul Lotru,Sibiu
271,271,2006-12-11,Municipiul Câmpulung Moldovenesc - Cabana Rarău,Consiliul Județean Suceava,Masivul Rarău,Suceava
272,272,2006-12-11,Municipiul Câmpulung Moldovenesc - stânga de Vârful Bodea - Poiana Sihăstriei,Consiliul Județean Suceava,Masivul Rarău,Suceava
273,273,2006-12-11,Municipiul Câmpulung Moldovenesc - Pârâul Mesteacăn - Munceii Rarăului - Cabana Rarău,Consiliul Județean Suceava,Masivul Rarău,Suceava
274,274,2006-12-11,Municipiul Câmpulung Moldovenesc - Izvorul Alb - Valea Limpedea - Șaua Ciobanilor,Consiliul Județean Suceava,Masivul Rarău,Suceava
275,275,2006-12-11,Municipiul Câmpulung Moldovenesc - Pârâul Valea Caselor - Pârâul Moara Dracului - Șaua Ciobanilor,Consiliul Județean Suceava,Masivul Rarău,Suceava
